state/region,ages,year,population
MN,under18,2007,1285074
MN,under18,2013,1279111
MN,total,2009,5281203
MN,under18,2009,1284103
MN,total,2013,5420380
MN,total,2010,5310337
MN,under18,2010,1282693
MN,total,2011,5347108
MN,under18,2011,1280424
MN,under18,2012,1278050
MN,total,2012,5379646
MS,total,2012,2986450
MS,under18,2012,742941
MS,under18,2011,747742
MS,total,2011,2977886
MS,under18,2010,754111
MS,total,2010,2970047
MS,total,2013,2991207
MS,total,2009,2958774
MS,under18,2009,758539
MS,under18,2013,737432
MS,total,2007,2928350
MS,under18,2007,761171
MS,total,2008,2947806
MS,under18,2008,760572
MS,total,2005,2905943
MS,under18,2005,760870
MS,total,2006,2904978
MS,under18,2006,756990
MS,total,2003,2868312
MS,under18,2003,759447
MS,total,2004,2889010
MS,under18,2004,760410
MS,total,2002,2858681
MS,under18,2002,763148
MS,total,2001,2852994
MS,under18,2001,768418
MS,total,2000,2848353
MS,under18,2000,774353
MS,total,1999,2828408
MS,under18,1999,775662
MS,total,1997,2777004
MS,under18,1997,774832
MS,under18,1998,773721
MS,total,1998,2804834
MS,under18,1996,769680
MS,total,1996,2748085
MS,total,1995,2722659
MS,under18,1995,767892
MS,under18,1992,750224
MS,total,1992,2623734
MS,total,1993,2655100
MS,under18,1993,755820
MS,under18,1994,763795
MS,total,1994,2688992
MS,total,1991,2598733
MS,under18,1991,738911
MS,under18,1990,733660
MS,total,1990,2578897
MO,under18,1990,1316423
MO,total,1990,5128880
MO,total,1991,5170800
MO,under18,1991,1332306
MO,under18,1994,1378700
MO,total,1994,5324497
MO,total,1993,5271175
MO,under18,1993,1365903
MO,under18,1992,1349729
MO,total,1992,5217101
MO,under18,1996,1408732
MO,total,1996,5431553
MO,total,1995,5378247
MO,under18,1995,1393554
MO,under18,1998,1428999
MO,total,1998,5521765
MO,total,1997,5481193
MO,under18,1997,1419837
MO,total,1999,5561948
MO,under18,1999,1428047
MO,total,2000,5607285
MO,under18,2000,1428383
MO,total,2001,5641142
MO,under18,2001,1426575
MO,total,2002,5674825
MO,under18,2002,1424513
MO,total,2004,5747741
MO,under18,2004,1420956
MO,total,2003,5709403
MO,under18,2003,1421927
MO,total,2006,5842704
MO,under18,2006,1428324
MO,total,2005,5790300
MO,under18,2005,1422978
MO,total,2008,5923916
MO,under18,2008,1428945
MO,total,2007,5887612
MO,under18,2007,1431346
MO,under18,2013,1397685
MO,total,2009,5961088
MO,under18,2009,1426603
MO,total,2013,6044171
MO,total,2010,5996063
MO,under18,2010,1424042
MO,total,2011,6010065
MO,under18,2011,1414444
MO,under18,2012,1405015
MO,total,2012,6024522
MT,total,2012,1005494
MT,under18,2012,222905
MT,under18,2011,222977
MT,total,2011,997600
MT,under18,2010,223292
MT,total,2010,990527
MT,total,2013,1015165
MT,total,2009,983982
MT,under18,2009,223675
MT,under18,2013,223981
MT,total,2007,964706
MT,under18,2007,223135
MT,total,2008,976415
MT,under18,2008,223814
MT,total,2005,940102
MT,under18,2005,221685
MT,total,2006,952692
MT,under18,2006,221930
MT,total,2003,919630
MT,under18,2003,223012
MT,total,2004,930009
MT,under18,2004,221999
MT,total,2002,911667
MT,under18,2002,224772
MT,total,2001,906961
MT,under18,2001,227118
MT,total,1999,897508
MT,under18,1999,231133
MT,total,2000,903773
MT,under18,2000,230067
MT,total,1997,889865
MT,under18,1997,232813
MT,under18,1998,231746
MT,total,1998,892431
MT,total,1995,876553
MT,under18,1995,236583
MT,under18,1996,235294
MT,total,1996,886254
MT,under18,1992,230868
MT,total,1992,825770
MT,total,1993,844761
MT,under18,1993,234987
MT,under18,1994,237289
MT,total,1994,861306
MT,total,1991,809680
MT,under18,1991,225259
MT,under18,1990,223677
MT,total,1990,800204
NE,under18,1990,430068
NE,total,1990,1581660
NE,total,1991,1595919
NE,under18,1991,434525
NE,under18,1994,442589
NE,total,1994,1639041
NE,total,1993,1625590
NE,under18,1993,439313
NE,under18,1992,436378
NE,total,1992,1611687
NE,under18,1996,446841
NE,total,1996,1673740
NE,total,1995,1656993
NE,under18,1995,444418
NE,under18,1998,451192
NE,total,1998,1695817
NE,total,1997,1686418
NE,under18,1997,450076
NE,total,1999,1704764
NE,under18,1999,451047
NE,total,2000,1713820
NE,under18,2000,450380
NE,total,2001,1719836
NE,under18,2001,448307
NE,total,2002,1728292
NE,under18,2002,447714
NE,total,2004,1749370
NE,under18,2004,448360
NE,total,2003,1738643
NE,under18,2003,447444
NE,total,2006,1772693
NE,under18,2006,450098
NE,total,2005,1761497
NE,under18,2005,448918
NE,total,2008,1796378
NE,under18,2008,453787
NE,total,2007,1783440
NE,under18,2007,451946
NE,under18,2013,464348
NE,total,2009,1812683
NE,under18,2009,456543
NE,total,2013,1868516
NE,total,2010,1829838
NE,under18,2010,459621
NE,total,2011,1841749
NE,under18,2011,460872
NE,under18,2012,462673
NE,total,2012,1855350
NV,total,2012,2754354
NV,under18,2012,659655
NV,under18,2011,659236
NV,total,2011,2717951
NV,under18,2010,663180
NV,total,2010,2703230
NV,total,2013,2790136
NV,total,2009,2684665
NV,under18,2009,666041
NV,under18,2013,661605
NV,total,2007,2601072
NV,under18,2007,654053
NV,total,2008,2653630
NV,under18,2008,662621
NV,total,2005,2432143
NV,under18,2005,611595
NV,total,2006,2522658
NV,under18,2006,634403
NV,total,2003,2248850
NV,under18,2003,568963
NV,total,2004,2346222
NV,under18,2004,591314
NV,total,2002,2173791
NV,under18,2002,552816
NV,total,2001,2098399
NV,under18,2001,534708
NV,total,1999,1934718
NV,under18,1999,493701
NV,total,2000,2018741
NV,under18,2000,516018
NV,total,1997,1764104
NV,under18,1997,443626
NV,under18,1998,469424
NV,total,1998,1853192
NV,total,1995,1581578
NV,under18,1995,396223
NV,under18,1996,419133
NV,total,1996,1666320
NV,under18,1992,337396
NV,total,1992,1351367
NV,total,1993,1411215
NV,under18,1993,354990
NV,under18,1994,376745
NV,total,1994,1499298
NV,total,1991,1296172
NV,under18,1991,325033
NV,under18,1990,316406
NV,total,1990,1220695
NH,under18,1990,277454
NH,total,1990,1112384
NH,total,1991,1109929
NH,under18,1991,281127
NH,under18,1994,295563
NH,total,1994,1142561
NH,total,1993,1129458
NH,under18,1993,290409
NH,under18,1992,286314
NH,total,1992,1117785
NH,under18,1996,300161
NH,total,1996,1174719
NH,total,1995,1157561
NH,under18,1995,298246
NH,under18,1998,307292
NH,total,1998,1205941
NH,total,1997,1189425
NH,under18,1997,302834
NH,total,2000,1239882
NH,under18,2000,310352
NH,total,1999,1222015
NH,under18,1999,308423
NH,total,2001,1255517
NH,under18,2001,311877
NH,total,2002,1269089
NH,under18,2002,312743
NH,total,2004,1290121
NH,under18,2004,309243
NH,total,2003,1279840
NH,under18,2003,311412
NH,total,2005,1298492
NH,under18,2005,307403
NH,total,2006,1308389
NH,under18,2006,305169
NH,total,2008,1315906
NH,under18,2008,296029
NH,total,2007,1312540
NH,under18,2007,300918
NH,under18,2013,271122
NH,total,2009,1316102
NH,under18,2009,290850
NH,total,2013,1323459
NH,total,2010,1316614
NH,under18,2010,285702
NH,total,2011,1318075
NH,under18,2011,280486
NH,under18,2012,275818
NH,total,2012,1321617
NJ,total,2012,8867749
NJ,under18,2012,2035106
NJ,under18,2011,2049453
NJ,total,2011,8836639
NJ,under18,2010,2062013
NJ,total,2010,8802707
NJ,total,2013,8899339
NJ,total,2009,8755602
NJ,under18,2009,2068684
NJ,under18,2013,2022117
NJ,total,2007,8677885
NJ,under18,2007,2091023
NJ,total,2008,8711090
NJ,under18,2008,2076366
NJ,total,2006,8661679
NJ,under18,2006,2106403
NJ,total,2005,8651974
NJ,under18,2005,2121878
NJ,total,2003,8601402
NJ,under18,2003,2126014
NJ,total,2004,8634561
NJ,under18,2004,2129051
NJ,total,2002,8552643
NJ,under18,2002,2116591
NJ,total,2001,8492671
NJ,under18,2001,2102838
NJ,total,1999,8359592
NJ,under18,1999,2066678
NJ,total,2000,8430621
NJ,under18,2000,2088885
NJ,total,1997,8218808
NJ,under18,1997,2028349
NJ,under18,1998,2042080
NJ,total,1998,8287418
NJ,total,1995,8083242
NJ,under18,1995,1997187
NJ,under18,1996,2016502
NJ,total,1996,8149596
NJ,under18,1992,1890108
NJ,total,1992,7880508
NJ,total,1993,7948915
NJ,under18,1993,1928623
NJ,under18,1994,1968232
NJ,total,1994,8014306
NJ,total,1991,7814676
NJ,under18,1991,1849605
NJ,under18,1990,1818187
NJ,total,1990,7762963
NM,total,1990,1521574
NM,under18,1990,453538
NM,under18,1991,461811
NM,total,1991,1555305
NM,under18,1994,497542
NM,under18,1993,487742
NM,total,1993,1636453
NM,total,1992,1595442
NM,under18,1992,473176
NM,total,1994,1682398
NM,under18,1996,508100
NM,total,1995,1720394
NM,under18,1995,504558
NM,total,1996,1752326
NM,under18,1998,512801
NM,total,1998,1793484
NM,total,1997,1774839
NM,under18,1997,514500
NM,under18,1999,511135
NM,total,1999,1808082
NM,total,2000,1821204
NM,under18,2000,508132
NM,total,2001,1831690
NM,under18,2001,503404
NM,total,2002,1855309
NM,under18,2002,502779
NM,total,2004,1903808
NM,under18,2004,501184
NM,total,2003,1877574
NM,under18,2003,500777
NM,total,2005,1932274
NM,under18,2005,502612
NM,total,2006,1962137
NM,under18,2006,505125
NM,total,2008,2010662
NM,under18,2008,511214
NM,total,2007,1990070
NM,under18,2007,508725
NM,under18,2013,507540
NM,total,2013,2085287
NM,total,2009,2036802
NM,under18,2009,515470
NM,total,2010,2064982
NM,under18,2010,518763
NM,under18,2011,516513
NM,total,2011,2077919
NM,under18,2012,512314
NM,total,2012,2083540
NY,total,2012,19576125
NY,under18,2012,4264694
NY,total,2011,19502728
NY,under18,2011,4294555
NY,under18,2010,4318033
NY,total,2010,19398228
NY,total,2009,19307066
NY,under18,2009,4342926
NY,total,2013,19651127
NY,under18,2013,4239976
NY,total,2007,19132335
NY,under18,2007,4410949
NY,total,2008,19212436
NY,under18,2008,4372170
NY,total,2006,19104631
NY,under18,2006,4457777
NY,total,2005,19132610
NY,under18,2005,4514456
NY,total,2003,19175939
NY,under18,2003,4619506
NY,total,2004,19171567
NY,under18,2004,4574065
NY,total,2002,19137800
NY,under18,2002,4652232
NY,total,2001,19082838
NY,under18,2001,4672425
NY,under18,1999,4672587
NY,total,1999,18882725
NY,total,2000,19001780
NY,under18,2000,4687374
NY,under18,1997,4670787
NY,total,1997,18656546
NY,total,1998,18755906
NY,under18,1998,4652140
NY,total,1996,18588460
NY,under18,1995,4648419
NY,total,1995,18524104
NY,under18,1996,4667647
NY,total,1994,18459470
NY,under18,1992,4465539
NY,total,1992,18246653
NY,total,1993,18374954
NY,under18,1993,4538171
NY,under18,1994,4605284
NY,total,1991,18122510
NY,under18,1991,4372727
NY,under18,1990,4281643
NY,total,1990,18020784
NC,under18,1990,1625804
NC,total,1990,6664016
NC,total,1991,6784280
NC,under18,1991,1640394
NC,total,1993,7042818
NC,under18,1993,1710267
NC,under18,1992,1674144
NC,total,1992,6897214
NC,under18,1994,1750754
NC,total,1994,7187398
NC,total,1995,7344674
NC,under18,1995,1785150
NC,under18,1996,1821506
NC,total,1996,7500670
NC,under18,1998,1894753
NC,total,1998,7809122
NC,total,1997,7656825
NC,under18,1997,1861621
NC,total,2000,8081614
NC,under18,2000,1967626
NC,total,1999,7949362
NC,under18,1999,1932141
NC,total,2001,8210122
NC,under18,2001,2003782
NC,total,2002,8326201
NC,under18,2002,2034451
NC,total,2004,8553152
NC,under18,2004,2085165
NC,total,2003,8422501
NC,under18,2003,2060838
NC,total,2005,8705407
NC,under18,2005,2122485
NC,total,2006,8917270
NC,under18,2006,2166393
NC,total,2008,9309449
NC,under18,2008,2252101
NC,total,2007,9118037
NC,under18,2007,2219168
NC,under18,2013,2285605
NC,total,2013,9848060
NC,total,2009,9449566
NC,under18,2009,2272955
NC,total,2010,9559533
NC,under18,2010,2282288
NC,under18,2011,2284238
NC,total,2011,9651377
NC,under18,2012,2284122
NC,total,2012,9748364
ND,total,2012,701345
ND,under18,2012,156765
ND,total,2011,684867
ND,under18,2011,152357
ND,under18,2010,150179
ND,total,2010,674344
ND,total,2009,664968
ND,under18,2009,148674
ND,total,2013,723393
ND,under18,2013,162688
ND,total,2007,652822
ND,under18,2007,147263
ND,total,2008,657569
ND,under18,2008,147462
ND,total,2006,649422
ND,under18,2006,147331
ND,total,2005,646089
ND,under18,2005,148119
ND,total,2003,638817
ND,under18,2003,150406
ND,total,2004,644705
ND,under18,2004,149128
ND,total,2002,638168
ND,under18,2002,153097
ND,total,2001,639062
ND,under18,2001,156113
ND,total,1999,644259
ND,under18,1999,163056
ND,total,2000,642023
ND,under18,2000,160477
ND,total,1997,649716
ND,under18,1997,167475
ND,under18,1998,165448
ND,total,1998,647532
ND,under18,1996,169257
ND,total,1996,650382
ND,total,1995,647832
ND,under18,1995,171146
ND,under18,1994,172160
ND,total,1994,644806
ND,under18,1992,172052
ND,total,1992,638223
ND,total,1993,641216
ND,under18,1993,172168
ND,total,1991,635753
ND,under18,1991,171730
ND,under18,1990,170920
ND,total,1990,637685
OH,under18,1990,2778491
OH,total,1990,10864162
OH,total,1991,10945762
OH,under18,1991,2806959
OH,total,1993,11101140
OH,under18,1993,2855785
OH,under18,1992,2839356
OH,total,1992,11029431
OH,under18,1994,2875397
OH,total,1994,11152455
OH,total,1995,11202751
OH,under18,1995,2879930
OH,under18,1996,2883443
OH,total,1996,11242827
OH,under18,1998,2896255
OH,total,1998,11311536
OH,total,1997,11277357
OH,under18,1997,2897375
OH,total,2000,11363543
OH,under18,2000,2886585
OH,total,1999,11335454
OH,under18,1999,2893270
OH,total,2001,11387404
OH,under18,2001,2878123
OH,total,2002,11407889
OH,under18,2002,2865674
OH,total,2004,11452251
OH,under18,2004,2836068
OH,total,2003,11434788
OH,under18,2003,2849573
OH,total,2005,11463320
OH,under18,2005,2819794
OH,total,2006,11481213
OH,under18,2006,2804828
OH,total,2008,11515391
OH,under18,2008,2768968
OH,total,2007,11500468
OH,under18,2007,2790347
OH,under18,2013,2649830
OH,total,2013,11570808
OH,total,2009,11528896
OH,under18,2009,2748051
OH,total,2010,11545435
OH,under18,2010,2722589
OH,under18,2011,2693469
OH,total,2011,11549772
OH,under18,2012,2668125
OH,total,2012,11553031
OK,total,2012,3815780
OK,under18,2012,939911
OK,total,2011,3785534
OK,under18,2011,935714
OK,under18,2010,931483
OK,total,2010,3759263
OK,total,2009,3717572
OK,under18,2009,922711
OK,total,2013,3850568
OK,under18,2013,947027
OK,total,2007,3634349
OK,under18,2007,904328
OK,total,2008,3668976
OK,under18,2008,910617
OK,total,2006,3594090
OK,under18,2006,894761
OK,total,2005,3548597
OK,under18,2005,885316
OK,total,2003,3504892
OK,under18,2003,883959
OK,total,2004,3525233
OK,under18,2004,881606
OK,total,2002,3489080
OK,under18,2002,884961
OK,total,2001,3467100
OK,under18,2001,885218
OK,total,1999,3437148
OK,under18,1999,895678
OK,total,2000,3454365
OK,under18,2000,891847
OK,total,1997,3372918
OK,under18,1997,893835
OK,under18,1998,898501
OK,total,1998,3405194
OK,under18,1996,887093
OK,total,1996,3340129
OK,total,1995,3308208
OK,under18,1995,883667
OK,under18,1994,877803
OK,total,1994,3280940
OK,under18,1992,862548
OK,total,1992,3220517
OK,total,1993,3252285
OK,under18,1993,870137
OK,total,1991,3175440
OK,under18,1991,849639
OK,under18,1990,841715
OK,total,1990,3148825
OR,under18,1990,742436
OR,total,1990,2860375
OR,total,1991,2928507
OR,under18,1991,752442
OR,total,1993,3060367
OR,under18,1993,778973
OR,under18,1992,770191
OR,total,1992,2991755
OR,under18,1994,793435
OR,total,1994,3121264
OR,total,1995,3184369
OR,under18,1995,806512
OR,under18,1996,816102
OR,total,1996,3247111
OR,under18,1998,837928
OR,total,1998,3352449
OR,total,1997,3304310
OR,under18,1997,830002
OR,total,2000,3429708
OR,under18,2000,847511
OR,total,1999,3393941
OR,under18,1999,843484
OR,total,2001,3467937
OR,under18,2001,848663
OR,total,2002,3513424
OR,under18,2002,850733
OR,total,2004,3569463
OR,under18,2004,846786
OR,total,2003,3547376
OR,under18,2003,850251
OR,total,2005,3613202
OR,under18,2005,849323
OR,total,2006,3670883
OR,under18,2006,857003
OR,total,2008,3768748
OR,under18,2008,865664
OR,total,2007,3722417
OR,under18,2007,862161
OR,under18,2013,857606
OR,total,2013,3930065
OR,total,2009,3808600
OR,under18,2009,866194
OR,total,2010,3837208
OR,under18,2010,865129
OR,under18,2011,862518
OR,total,2011,3867937
OR,under18,2012,859910
OR,total,2012,3899801
PA,total,2012,12764475
PA,under18,2012,2737905
PA,total,2011,12741310
PA,under18,2011,2761343
PA,under18,2010,2785316
PA,total,2010,12710472
PA,total,2009,12666858
PA,under18,2009,2804929
PA,total,2013,12773801
PA,under18,2013,2715645
PA,total,2007,12563937
PA,under18,2007,2839574
PA,total,2008,12612285
PA,under18,2008,2821004
PA,total,2006,12510809
PA,under18,2006,2850778
PA,total,2005,12449990
PA,under18,2005,2859793
PA,total,2003,12374658
PA,under18,2003,2883270
PA,total,2004,12410722
PA,under18,2004,2873125
PA,total,2002,12331031
PA,under18,2002,2894935
PA,total,2001,12298970
PA,under18,2001,2905836
PA,total,1999,12263805
PA,under18,1999,2930193
PA,total,2000,12284173
PA,under18,2000,2918850
PA,total,1997,12227814
PA,under18,1997,2942240
PA,under18,1998,2940285
PA,total,1998,12245672
PA,under18,1996,2937411
PA,total,1996,12220464
PA,total,1995,12198403
PA,under18,1995,2941531
PA,under18,1994,2932851
PA,total,1994,12166050
PA,under18,1992,2873013
PA,total,1992,12049450
PA,total,1993,12119724
PA,under18,1993,2907351
PA,total,1991,11982164
PA,under18,1991,2830059
PA,under18,1990,2799168
PA,total,1990,11903299
RI,under18,1990,225923
RI,total,1990,1005995
RI,total,1991,1010649
RI,under18,1991,229448
RI,total,1993,1015113
RI,under18,1993,237218
RI,under18,1992,232630
RI,total,1992,1012581
RI,under18,1994,239100
RI,total,1994,1015960
RI,total,1995,1017002
RI,under18,1995,240553
RI,under18,1996,240569
RI,total,1996,1020893
RI,under18,1998,241760
RI,total,1998,1031155
RI,total,1997,1025353
RI,under18,1997,242079
RI,total,2000,1050268
RI,under18,2000,248065
RI,total,1999,1040402
RI,under18,1999,247014
RI,total,2001,1057142
RI,under18,2001,248296
RI,total,2002,1065995
RI,under18,2002,248690
RI,total,2004,1074579
RI,under18,2004,246228
RI,total,2003,1071342
RI,under18,2003,248075
RI,total,2005,1067916
RI,under18,2005,241932
RI,total,2006,1063096
RI,under18,2006,237348
RI,total,2008,1055003
RI,under18,2008,229798
RI,total,2007,1057315
RI,under18,2007,233655
RI,under18,2013,213987
RI,total,2013,1051511
RI,total,2009,1053646
RI,under18,2009,225902
RI,total,2010,1052669
RI,under18,2010,223088
RI,under18,2011,219783
RI,total,2011,1050350
RI,under18,2012,216591
RI,total,2012,1050304
SC,total,2012,4723417
SC,under18,2012,1077455
SC,total,2011,4673509
SC,under18,2011,1076524
SC,under18,2010,1079978
SC,total,2010,4636361
SC,total,2009,4589872
SC,under18,2009,1079729
SC,total,2013,4774839
SC,under18,2013,1079798
SC,total,2007,4444110
SC,under18,2007,1064190
SC,total,2008,4528996
SC,under18,2008,1074116
SC,total,2006,4357847
SC,under18,2006,1050042
SC,total,2005,4270150
SC,under18,2005,1036941
SC,total,2003,4150297
SC,under18,2003,1023785
SC,total,2004,4210921
SC,under18,2004,1029111
SC,total,2002,4107795
SC,under18,2002,1020531
SC,total,2001,4064995
SC,under18,2001,1016134
SC,total,1999,3974682
SC,under18,1999,1007050
SC,total,2000,4024223
SC,under18,2000,1010641
SC,total,1997,3859696
SC,under18,1997,1001681
SC,under18,1998,1006371
SC,total,1998,3919235
SC,under18,1996,987576
SC,total,1996,3796200
SC,total,1995,3748582
SC,under18,1995,975884
SC,under18,1994,969766
SC,total,1994,3705397
SC,under18,1992,947868
SC,total,1992,3620464
SC,total,1993,3663314
SC,under18,1993,956951
SC,total,1991,3570404
SC,under18,1991,936122
SC,under18,1990,921041
SC,total,1990,3501155
SD,under18,1990,199453
SD,total,1990,697101
SD,total,1991,703669
SD,under18,1991,201749
SD,total,1993,722160
SD,under18,1993,207975
SD,under18,1992,206632
SD,total,1992,712801
SD,under18,1994,208443
SD,total,1994,730790
SD,total,1995,737926
SD,under18,1995,207890
SD,under18,1996,205780
SD,total,1996,742214
SD,under18,1998,204786
SD,total,1998,746059
SD,total,1997,744223
SD,under18,1997,205978
SD,total,2000,755844
SD,under18,2000,202681
SD,total,1999,750413
SD,under18,1999,203737
SD,total,2001,757972
SD,under18,2001,200795
SD,total,2002,760020
SD,under18,2002,198694
SD,total,2004,770396
SD,under18,2004,196804
SD,total,2003,763729
SD,under18,2003,197326
SD,total,2005,775493
SD,under18,2005,196476
SD,total,2006,783033
SD,under18,2006,197332
SD,total,2008,799124
SD,under18,2008,199848
SD,total,2007,791623
SD,under18,2007,198847
SD,under18,2013,207959
SD,total,2013,844877
SD,total,2009,807067
SD,under18,2009,201204
SD,total,2010,816211
SD,under18,2010,203145
SD,under18,2011,203948
SD,total,2011,823772
SD,under18,2012,205298
SD,total,2012,834047
TN,total,2012,6454914
TN,under18,2012,1492689
TN,total,2011,6398361
TN,under18,2011,1491837
TN,under18,2010,1495090
TN,total,2010,6356683
TN,total,2009,6306019
TN,under18,2009,1494687
TN,total,2013,6495978
TN,under18,2013,1491577
TN,total,2007,6175727
TN,under18,2007,1482747
TN,total,2008,6247411
TN,under18,2008,1494354
TN,total,2006,6088766
TN,under18,2006,1470166
TN,total,2005,5991057
TN,under18,2005,1449326
TN,total,2003,5847812
TN,under18,2003,1424861
TN,total,2004,5910809
TN,under18,2004,1433343
TN,total,2002,5795918
TN,under18,2002,1414857
TN,total,2001,5750789
TN,under18,2001,1407578
TN,total,1999,5638706
TN,under18,1999,1385997
TN,total,2000,5703719
TN,under18,2000,1399685
TN,total,1997,5499233
TN,under18,1997,1359030
TN,under18,1998,1369987
TN,total,1998,5570045
TN,under18,1996,1345723
TN,total,1996,5416643
TN,total,1995,5326936
TN,under18,1995,1331616
TN,under18,1994,1310988
TN,total,1994,5231438
TN,under18,1992,1259458
TN,total,1992,5049742
TN,total,1993,5137584
TN,under18,1993,1285044
TN,total,1991,4966587
TN,under18,1991,1233260
TN,under18,1990,1220200
TN,total,1990,4894492
TX,under18,1990,4906220
TX,total,1990,17056755
TX,total,1991,17398005
TX,under18,1991,5000793
TX,total,1993,18161612
TX,under18,1993,5217899
TX,under18,1992,5109805
TX,total,1992,17759738
TX,under18,1994,5331524
TX,total,1994,18564062
TX,total,1995,18958751
TX,under18,1995,5421784
TX,under18,1996,5551447
TX,total,1996,19340342
TX,under18,1998,5759054
TX,total,1998,20157531
TX,total,1997,19740317
TX,under18,1997,5655482
TX,total,2000,20944499
TX,under18,2000,5906301
TX,total,1999,20558220
TX,under18,1999,5840211
TX,total,2001,21319622
TX,under18,2001,5980187
TX,total,2002,21690325
TX,under18,2002,6060372
TX,total,2004,22394023
TX,under18,2004,6208259
TX,total,2003,22030931
TX,under18,2003,6132980
TX,total,2005,22778123
TX,under18,2005,6290970
TX,total,2006,23359580
TX,under18,2006,6446798
TX,total,2008,24309039
TX,under18,2008,6675917
TX,total,2007,23831983
TX,under18,2007,6565872
TX,under18,2013,7041986
TX,total,2013,26448193
TX,total,2009,24801761
TX,under18,2009,6792907
TX,total,2010,25245178
TX,under18,2010,6879014
TX,under18,2011,6931758
TX,total,2011,25640909
TX,under18,2012,6985807
TX,total,2012,26060796
UT,total,2012,2854871
UT,under18,2012,888578
UT,total,2011,2814784
UT,under18,2011,881350
UT,under18,2010,873019
UT,total,2010,2774424
UT,total,2009,2723421
UT,under18,2009,857853
UT,total,2013,2900872
UT,under18,2013,896589
UT,total,2007,2597746
UT,under18,2007,815496
UT,total,2008,2663029
UT,under18,2008,837258
UT,total,2006,2525507
UT,under18,2006,789957
UT,total,2005,2457719
UT,under18,2005,767888
UT,total,2003,2360137
UT,under18,2003,740483
UT,total,2004,2401580
UT,under18,2004,751771
UT,total,2002,2324815
UT,under18,2002,733517
UT,total,2001,2283715
UT,under18,2001,726819
UT,total,1999,2203482
UT,under18,1999,715398
UT,total,2000,2244502
UT,under18,2000,721686
UT,total,1997,2119784
UT,under18,1997,699528
UT,under18,1998,709386
UT,total,1998,2165961
UT,under18,1996,687078
UT,total,1996,2067976
UT,total,1995,2014179
UT,under18,1995,679636
UT,under18,1994,673935
UT,total,1994,1960446
UT,under18,1992,648725
UT,total,1992,1836799
UT,total,1993,1898404
UT,under18,1993,662968
UT,total,1991,1779780
UT,under18,1991,637216
UT,under18,1990,627122
UT,total,1990,1731223
VT,under18,1990,143296
VT,total,1990,564798
VT,total,1991,568606
VT,under18,1991,145219
VT,total,1993,577748
VT,under18,1993,148705
VT,under18,1992,146983
VT,total,1992,572751
VT,under18,1994,150794
VT,total,1994,583836
VT,total,1995,589003
VT,under18,1995,151439
VT,under18,1996,151490
VT,total,1996,593701
VT,under18,1998,148467
VT,total,1998,600416
VT,total,1997,597239
VT,under18,1997,150040
VT,total,2000,609618
VT,under18,2000,147549
VT,total,1999,604683
VT,under18,1999,147859
VT,total,2001,612223
VT,under18,2001,146040
VT,total,2002,615442
VT,under18,2002,144441
VT,total,2004,619920
VT,under18,2004,141068
VT,total,2003,617858
VT,under18,2003,142718
VT,total,2005,621215
VT,under18,2005,138933
VT,total,2006,622892
VT,under18,2006,136731
VT,total,2008,624151
VT,under18,2008,132600
VT,total,2007,623481
VT,under18,2007,134695
VT,under18,2013,122701
VT,total,2013,626630
VT,total,2009,624817
VT,under18,2009,130450
VT,total,2010,625793
VT,under18,2010,128601
VT,under18,2011,126500
VT,total,2011,626320
VT,under18,2012,124555
VT,total,2012,625953
VA,total,2012,8186628
VA,under18,2012,1861323
VA,total,2011,8105850
VA,under18,2011,1857585
VA,under18,2010,1855025
VA,total,2010,8024417
VA,total,2009,7925937
VA,under18,2009,1845132
VA,total,2013,8260405
VA,under18,2013,1864535
VA,total,2007,7751000
VA,under18,2007,1834386
VA,total,2008,7833496
VA,under18,2008,1838361
VA,total,2005,7577105
VA,under18,2005,1816270
VA,total,2006,7673725
VA,under18,2006,1826368
VA,total,2003,7366977
VA,under18,2003,1782254
VA,total,2004,7475575
VA,under18,2004,1801958
VA,total,2002,7286873
VA,under18,2002,1771247
VA,total,2001,7198362
VA,under18,2001,1754549
VA,total,1999,7000174
VA,under18,1999,1723125
VA,total,2000,7105817
VA,under18,2000,1741420
VA,total,1997,6829183
VA,under18,1997,1683766
VA,under18,1998,1706261
VA,total,1998,6900918
VA,under18,1996,1664147
VA,total,1996,6750884
VA,total,1995,6670693
VA,under18,1995,1649005
VA,under18,1994,1628711
VA,total,1994,6593139
VA,under18,1992,1581544
VA,total,1992,6414307
VA,total,1993,6509630
VA,under18,1993,1604758
VA,total,1991,6301217
VA,under18,1991,1548258
VA,under18,1990,1520670
VA,total,1990,6216884
WA,under18,1990,1301545
WA,total,1990,4903043
WA,total,1991,5025624
WA,under18,1991,1326527
WA,total,1993,5278842
WA,under18,1993,1387716
WA,under18,1992,1365480
WA,total,1992,5160757
WA,under18,1994,1409922
WA,total,1994,5375161
WA,total,1995,5481027
WA,under18,1995,1429397
WA,under18,1996,1449613
WA,total,1996,5569753
WA,under18,1998,1494784
WA,total,1998,5769562
WA,total,1997,5674747
WA,under18,1997,1473646
WA,total,2000,5910512
WA,under18,2000,1516361
WA,total,1999,5842564
WA,under18,1999,1507824
WA,total,2001,5985722
WA,under18,2001,1517527
WA,total,2002,6052349
WA,under18,2002,1517655
WA,total,2004,6178645
WA,under18,2004,1520751
WA,total,2003,6104115
WA,under18,2003,1514877
WA,total,2005,6257305
WA,under18,2005,1523890
WA,total,2006,6370753
